sensor1	sensor2	sensor3	sensor4	
131.2	62.3	-4.1	-9.1	
-9.1	59.8	-9.1	5.7	
-127.1	59.8	-11.5	-11.5	
-139.4	50.0	-14.0	3.2	
-87.8	42.6	-11.5	-1.7	
-11.5	32.8	13.1	-6.6	
-1.7	27.8	30.3	-1.7	
-4.1	45.1	5.7	-4.1	
8.2	37.7	-1.7	-11.5	
67.2	47.5	8.2	3.2	
77.0	45.1	18.0	-9.1	
84.4	32.8	8.2	3.2	
111.5	32.8	5.7	8.2	
101.6	35.2	30.3	5.7	
77.0	25.4	8.2	18.0	
25.4	18.0	0.8	15.5	
47.5	18.0	-16.4	15.5	
106.6	13.1	37.7	-14.0	
145.9	22.9	5.7	-9.1	
150.8	18.0	-55.8	5.7	
116.4	13.1	-97.6	-6.6	
109.0	-4.1	-80.4	0.8	
101.6	-4.1	-63.2	-4.1	
79.5	-18.9	-60.7	0.8	
62.3	-16.4	-26.3	8.2	
50.0	-21.4	13.1	8.2	
57.4	-14.0	59.8	5.7	
72.1	-11.5	50.0	5.7	
99.2	-9.1	77.0	5.7	
116.4	-23.8	30.3	0.8	
138.5	-26.3	15.5	15.5	
145.9	-33.7	-1.7	18.0	
153.3	-36.1	8.2	3.2	
158.2	-38.6	20.5	10.6	
145.9	-31.2	18.0	0.8	
138.5	-48.4	8.2	8.2	
143.5	-60.7	18.0	8.2	
150.8	-70.6	15.5	27.8	
145.9	-65.6	8.2	15.5	
118.9	-73.0	-4.1	-9.1	
74.6	-85.3	-11.5	-23.8	
79.5	-77.9	-36.1	0.8	
72.1	-55.8	-31.2	5.7	
77.0	-50.9	-43.5	-9.1	
77.0	-41.0	10.6	-11.5	
57.4	-53.3	30.3	-6.6	
3.2	-36.1	8.2	5.7	
-31.2	-50.9	-21.4	-16.4	
-11.5	-50.9	0.8	-23.8	
22.9	-46.0	-1.7	-14.0	
40.1	-50.9	-1.7	8.2	
67.2	-43.5	8.2	13.1	
74.6	-41.0	-18.9	0.8	
82.0	-43.5	-70.6	15.5	
69.7	-23.8	-48.4	22.9	
74.6	-26.3	0.8	18.0	
57.4	-26.3	5.7	13.1	
84.4	-21.4	-11.5	13.1	
74.6	10.6	-1.7	18.0	
86.9	15.5	-6.6	15.5	
27.8	47.5	8.2	18.0	
-63.2	62.3	-11.5	8.2	
-102.5	84.4	-18.9	8.2	
-92.7	77.0	-6.6	3.2	
-53.3	99.2	3.2	5.7	
-28.7	109.0	-9.1	0.8	
22.9	113.9	5.7	-4.1	
40.1	121.3	5.7	0.8	
59.8	128.7	-1.7	5.7	
67.2	136.1	3.2	0.8	
72.1	150.8	-6.6	8.2	
77.0	148.4	-4.1	-1.7	
79.5	153.3	10.6	8.2	
72.1	143.5	3.2	-6.6	
99.2	143.5	25.4	5.7	
126.2	143.5	62.3	5.7	
123.8	128.7	67.2	8.2	
131.2	121.3	22.9	3.2	
116.4	118.9	3.2	0.8	
72.1	99.2	18.0	-4.1	
74.6	101.6	-9.1	8.2	
77.0	99.2	-23.8	5.7	
84.4	82.0	-43.5	18.0	
27.8	59.8	-41.0	18.0	
-4.1	40.1	-68.1	-1.7	
-41.0	42.6	-63.2	5.7	
-28.7	30.3	-73.0	5.7	
-6.6	42.6	-28.7	0.8	
25.4	20.5	-6.6	18.0	
32.8	15.5	30.3	30.3	
27.8	15.5	45.1	3.2	
20.5	10.6	35.2	-26.3	
-4.1	10.6	0.8	-36.1	
-33.7	10.6	3.2	-11.5	
-28.7	22.9	-14.0	-1.7	
-16.4	42.6	-18.9	15.5	
-23.8	40.1	20.5	-11.5	
-31.2	45.1	74.6	18.0	
-55.8	50.0	64.7	30.3	
-70.6	50.0	32.8	27.8	
-31.2	47.5	13.1	20.5	
-1.7	64.7	40.1	15.5	
22.9	57.4	35.2	15.5	
-18.9	45.1	22.9	22.9	
-107.5	40.1	-6.6	8.2	
-117.3	40.1	-33.7	13.1	
-100.1	40.1	-14.0	18.0	
-90.2	47.5	-18.9	10.6	
-97.6	47.5	10.6	8.2	
-132.1	54.9	-4.1	-11.5	
-92.7	45.1	-26.3	-6.6	
-55.8	37.7	-18.9	5.7	
-6.6	45.1	-21.4	8.2	
42.6	47.5	-1.7	8.2	
30.3	52.4	18.0	25.4	
-23.8	32.8	18.0	25.4	
-70.6	35.2	25.4	15.5	
-50.9	50.0	8.2	18.0	
-36.1	42.6	0.8	-14.0	
-23.8	45.1	8.2	-58.3	
-80.4	25.4	-9.1	-43.5	
-90.2	32.8	-6.6	-21.4	
-80.4	35.2	18.0	25.4	
-43.5	20.5	22.9	30.3	
-92.7	0.8	10.6	5.7	
-75.5	-23.8	-9.1	-16.4	
-95.2	-16.4	-1.7	-9.1	
-41.0	-4.1	8.2	-4.1	
5.7	3.2	3.2	-4.1	
35.2	-1.7	10.6	18.0	
42.6	-18.9	-14.0	22.9	
3.2	-9.1	-33.7	13.1	
-46.0	-9.1	-21.4	13.1	
-38.6	-18.9	-11.5	15.5	
5.7	-18.9	22.9	10.6	
27.8	-16.4	37.7	3.2	
52.4	-16.4	42.6	3.2	
18.0	-14.0	32.8	-1.7	
-38.6	-6.6	22.9	3.2	
-70.6	22.9	32.8	3.2	
-75.5	32.8	42.6	-1.7	
-68.1	27.8	62.3	0.8	
-33.7	35.2	62.3	18.0	
-21.4	32.8	50.0	18.0	
-31.2	37.7	42.6	35.2	
-73.0	45.1	0.8	-4.1	
-82.9	27.8	-28.7	-16.4	
-80.4	35.2	-92.7	-1.7	
-41.0	40.1	-65.6	-9.1	
10.6	40.1	-36.1	-9.1	
27.8	57.4	-50.9	5.7	
20.5	54.9	-80.4	8.2	
18.0	47.5	-63.2	10.6	
-16.4	42.6	-16.4	5.7	
-28.7	42.6	45.1	13.1	
-26.3	42.6	50.0	13.1	
-28.7	47.5	67.2	0.8	
-28.7	45.1	22.9	13.1	
-11.5	45.1	-9.1	8.2	
22.9	20.5	3.2	13.1	
27.8	32.8	35.2	13.1	
-9.1	15.5	59.8	20.5	
-31.2	37.7	37.7	5.7	
-38.6	20.5	22.9	8.2	
5.7	25.4	27.8	8.2	
69.7	27.8	18.0	-4.1	
99.2	25.4	18.0	3.2	
133.6	27.8	5.7	0.8	
111.5	25.4	-11.5	0.8	
50.0	37.7	32.8	0.8	
