sensor1	sensor5	sensor7	sensor8	
18.0	-301.8	227.1	-215.7	
5.7	-294.4	192.7	-183.7	
13.1	-274.7	168.1	-171.4	
20.5	-267.4	180.4	-178.8	
20.5	-247.7	214.8	-169.0	
27.8	-235.4	214.8	-146.8	
18.0	-220.6	212.3	-112.4	
18.0	-203.4	224.6	-41.0	
20.5	-193.6	254.2	-18.9	
20.5	-166.5	283.7	0.8	
13.1	-166.5	286.1	40.1	
22.9	-134.5	281.2	101.6	
15.5	-122.2	259.1	143.5	
20.5	-119.8	264.0	173.0	
22.9	-97.6	236.9	197.6	
40.1	-82.9	182.8	212.3	
74.6	-77.9	155.8	236.9	
62.3	-65.6	101.6	249.2	
57.4	-53.3	104.1	254.2	
79.5	-23.8	123.8	310.7	
82.0	-21.4	197.6	340.3	
94.3	-9.1	232.0	391.9	
94.3	3.2	229.6	411.6	
72.1	5.7	209.9	448.5	
59.8	18.0	209.9	475.6	
42.6	35.2	241.9	507.5	
64.7	45.1	197.6	507.5	
96.7	50.0	126.2	500.2	
84.4	50.0	47.5	505.1	
64.7	64.7	-50.9	524.8	
-4.1	79.5	-137.0	576.4	
-1.7	79.5	-119.8	583.8	
-28.7	74.6	-95.2	598.6	
-43.5	84.4	-70.6	642.8	
-92.7	69.7	-68.1	660.1	
-55.8	59.8	-85.3	633.0	
-6.6	57.4	-53.3	623.2	
-1.7	45.1	-50.9	623.2	
22.9	32.8	-55.8	615.8	
10.6	22.9	-65.6	610.9	
-18.9	15.5	-77.9	608.4	
-31.2	18.0	-97.6	613.3	
-11.5	10.6	-18.9	605.9	
-14.0	0.8	54.9	603.5	
-36.1	8.2	84.4	581.3	
-63.2	25.4	74.6	556.7	
-33.7	30.3	77.0	522.3	
-21.4	15.5	59.8	507.5	
-14.0	25.4	25.4	485.4	
20.5	13.1	-50.9	473.1	
25.4	22.9	-95.2	473.1	
15.5	25.4	-181.3	458.3	
8.2	20.5	-223.1	473.1	
3.2	20.5	-225.5	453.4	
3.2	13.1	-161.6	436.2	
8.2	3.2	-124.7	399.3	
10.6	3.2	-80.4	355.0	
30.3	8.2	-65.6	325.5	
32.8	15.5	-43.5	318.1	
25.4	20.5	13.1	328.0	
25.4	22.9	69.7	303.4	
35.2	22.9	74.6	281.2	
18.0	27.8	82.0	273.8	
22.9	22.9	111.5	251.7	
25.4	15.5	121.3	239.4	
30.3	25.4	113.9	232.0	
32.8	15.5	69.7	217.3	
32.8	22.9	86.9	214.8	
20.5	5.7	94.3	192.7	
20.5	-6.6	150.8	182.8	
18.0	5.7	205.0	163.1	
25.4	-4.1	236.9	150.8	
22.9	-9.1	300.9	148.4	
15.5	-18.9	362.4	145.9	
20.5	-1.7	387.0	150.8	
5.7	-6.6	401.8	155.8	
13.1	-11.5	406.7	155.8	
20.5	0.8	416.5	168.1	
15.5	5.7	419.0	173.0	
15.5	-1.7	448.5	175.4	
18.0	0.8	443.6	180.4	
30.3	20.5	436.2	192.7	
25.4	35.2	443.6	197.6	
20.5	54.9	451.0	192.7	
